3099,10136
512,1523
717,2487
1346,9399
58,8657
4328,8329
605,6309
3129,2209
119,6136
3440,10144
1011,10162
1305,6566
37,7335
173,10197
6999,10051
3148,10144
68,10164
301,2582
3307,1777
67,10179
4328,6395
614,5976
3049,10179
3031,10182
605,10138
1476,10189
3038,9069
605,5370
72,8986
297,10174
14,74
6310,10181
80,9808
28,8411
3034,10193
717,10200
8246,10192
574,2090
116,9399
3023,9236
767,36
6310,8329
1314,2247
611,5370
4415,10165
32,8245
2251,78
3021,10148
552,7914
3029,9561
5457,8577
1314,19
577,9892
16,10196
99,1777
5633,1014
5633,7420
15,10200
1169,10170
3060,609
5457,10151
5633,6221
3030,9318
1439,6825
1361,6741
46,2746
3050,7832
603,2495
61,9643
1342,5721
1359,10136
3047,10190
4328,2090
720,9561
3019,10168
3019,10174
1340,10131
3049,9724
605,90
3161,10136
3046,132
4071,4941
1559,10196
3052,1615
72,10153
720,10146
618,8903
221,10190
649,10168
1239,131
3051,7504
62,10198
14,10196
1359,6395
20,2617
3037,5029
6999,10168
2251,810
1451,5721
1305,38
323,2378
47,8820
3039,7252
626,19
558,10166
642,10165
1559,2895
1476,6741
1377,2792
47,1927
574,10149
626,74
301,2164
1340,4941
3025,10172
4415,5543
1476,10150
1514,1112
3240,10140
3032,10159
61,2495
56,4854
1340,10051
31,8986
38,7587
600,10133
688,10132
1180,8577
591,33
1359,9808
3028,6056
678,33
47,7832
614,10169
37,142
165,10194
611,10142
757,6309
27,5543
62,2033
618,10183
16,2173
4328,333
94,10200
1476,5894
757,10139
3035,5199
26,10188
1132,10199
591,10183
116,7668
574,10169
3043,9318
1351,10142
302,10175
3060,1260
20,10175
3046,10162
3033,10160
1415,7420
5544,7420
1369,10150
1351,8495
1435,10183
1272,5370
3027,5721
75,10194
3030,10154
6310,10175
3026,10198
3032,10146
61,10167
1340,6654
58,10184
688,609
618,10175
3031,10176
611,10191
1559,19
3253,2746
3051,7252
26,235
3337,5370
70,10186
3041,2990
1373,8657
717,10179
279,10168
3209,2209
1559,6136
221,9480
574,9318
1340,5543
717,10170
1305,33
76,609
3019,10164
43,1235
1323,235
3045,10165
72,9069
455,10191
8246,333
47,2170
1487,10200
1271,2090
626,10184
1485,8163
1132,10200
3019,33
645,10148
1682,9318
1314,10135
1241,10051
1448,10149
57,10167
72,10133
3030,1523
76,8738
5633,90
603,5543
68,10173
1439,2163
4415,10177
1485,10145
1136,6221
1011,1112
275,10188
3039,9153
645,1615
1342,7914
1366,8820
648,8329
512,2173
512,7914
4071,10186
3044,10190
3052,7252
6310,227
241,10196
1377,10197
803,10167
1435,2487
1391,10131
3129,10178
70,9399
1391,6566
241,10156
46,10187
4328,4854
3039,6480
3253,10142
35,10051
1226,10166
6999,2746
574,9561
32,2209
1346,10175
603,481
258,1260
1180,7998
1476,1927
577,9236
1272,2036
437,10151
46,10147
3209,10144
1323,2495
3440,10198
1340,6911
173,10150
3050,10176
56,6911
3337,10143
3049,6911
1241,10144
67,1014
20,10133
24,8820
6310,661
3074,9971
3032,2163
6222,6395
3307,7914
47,5632
1451,10160
3021,2990
512,105
1239,8329
5633,8329
62,6221
603,9971
1315,10148
1439,1777
31,2247
774,132
