0:0:60,61,62,63,64,65,182,193,204,215:0000001111
1:0:60,61,62,63,64,181,75,193,204,215:0000010111
2:0:60,61,62,63,64,181,192,85,204,215:0000011011
3:0:60,61,62,63,64,181,192,203,95,215:0000011101
4:0:60,61,62,63,64,181,192,203,214,105:0000011110
5:0:60,61,62,63,180,74,75,193,204,215:0000100111
6:0:60,61,62,63,180,74,192,85,204,215:0000101011
7:0:60,61,62,63,180,74,192,203,95,215:0000101101
8:0:60,61,62,63,180,74,192,203,214,105:0000101110
9:0:60,61,62,63,180,191,84,85,204,215:0000110011
10:0:60,61,62,63,180,191,84,203,95,215:0000110101
11:0:60,61,62,63,180,191,84,203,214,105:0000110110
12:0:60,61,62,63,180,191,202,94,95,215:0000111001
13:0:60,61,62,63,180,191,202,94,214,105:0000111010
14:0:60,61,62,63,180,191,202,213,104,105:0000111100
15:0:60,61,62,179,73,74,75,193,204,215:0001000111
16:0:60,61,62,179,73,74,192,85,204,215:0001001011
17:0:60,61,62,179,73,74,192,203,95,215:0001001101
18:0:60,61,62,179,73,74,192,203,214,105:0001001110
19:0:60,61,62,179,73,191,84,85,204,215:0001010011
20:0:60,61,62,179,73,191,84,203,95,215:0001010101
21:0:60,61,62,179,73,191,84,203,214,105:0001010110
22:0:60,61,62,179,73,191,202,94,95,215:0001011001
23:0:60,61,62,179,73,191,202,94,214,105:0001011010
24:0:60,61,62,179,73,191,202,213,104,105:0001011100
25:0:60,61,62,179,190,83,84,85,204,215:0001100011
26:0:60,61,62,179,190,83,84,203,95,215:0001100101
27:0:60,61,62,179,190,83,84,203,214,105:0001100110
28:0:60,61,62,179,190,83,202,94,95,215:0001101001
29:0:60,61,62,179,190,83,202,94,214,105:0001101010
30:0:60,61,62,179,190,83,202,213,104,105:0001101100
31:0:60,61,62,179,190,201,93,94,95,215:0001110001
32:0:60,61,62,179,190,201,93,94,214,105:0001110010
33:0:60,61,62,179,190,201,93,213,104,105:0001110100
34:0:60,61,62,179,190,201,212,103,104,105:0001111000
35:0:60,61,178,72,73,74,75,193,204,215:0010000111
36:0:60,61,178,72,73,74,192,85,204,215:0010001011
37:0:60,61,178,72,73,74,192,203,95,215:0010001101
38:0:60,61,178,72,73,74,192,203,214,105:0010001110
39:0:60,61,178,72,73,191,84,85,204,215:0010010011
40:0:60,61,178,72,73,191,84,203,95,215:0010010101
41:0:60,61,178,72,73,191,84,203,214,105:0010010110
42:0:60,61,178,72,73,191,202,94,95,215:0010011001
43:0:60,61,178,72,73,191,202,94,214,105:0010011010
44:0:60,61,178,72,73,191,202,213,104,105:0010011100
45:0:60,61,178,72,190,83,84,85,204,215:0010100011
46:0:60,61,178,72,190,83,84,203,95,215:0010100101
47:0:60,61,178,72,190,83,84,203,214,105:0010100110
48:0:60,61,178,72,190,83,202,94,95,215:0010101001
49:0:60,61,178,72,190,83,202,94,214,105:0010101010
50:0:60,61,178,72,190,83,202,213,104,105:0010101100
51:0:60,61,178,72,190,201,93,94,95,215:0010110001
52:0:60,61,178,72,190,201,93,94,214,105:0010110010
53:0:60,61,178,72,190,201,93,213,104,105:0010110100
54:0:60,61,178,72,190,201,212,103,104,105:0010111000
55:0:60,61,178,189,82,83,84,85,204,215:0011000011
56:0:60,61,178,189,82,83,84,203,95,215:0011000101
57:0:60,61,178,189,82,83,84,203,214,105:0011000110
58:0:60,61,178,189,82,83,202,94,95,215:0011001001
59:0:60,61,178,189,82,83,202,94,214,105:0011001010
60:0:60,61,178,189,82,83,202,213,104,105:0011001100
61:0:60,61,178,189,82,201,93,94,95,215:0011010001
62:0:60,61,178,189,82,201,93,94,214,105:0011010010
63:0:60,61,178,189,82,201,93,213,104,105:0011010100
64:0:60,61,178,189,82,201,212,103,104,105:0011011000
65:0:60,61,178,189,200,92,93,94,95,215:0011100001
66:0:60,61,178,189,200,92,93,94,214,105:0011100010
67:0:60,61,178,189,200,92,93,213,104,105:0011100100
68:0:60,61,178,189,200,92,212,103,104,105:0011101000
69:0:60,61,178,189,200,211,102,103,104,105:0011110000
70:0:60,177,71,72,73,74,75,193,204,215:0100000111
71:0:60,177,71,72,73,74,192,85,204,215:0100001011
72:0:60,177,71,72,73,74,192,203,95,215:0100001101
73:0:60,177,71,72,73,74,192,203,214,105:0100001110
74:0:60,177,71,72,73,191,84,85,204,215:0100010011
75:0:60,177,71,72,73,191,84,203,95,215:0100010101
76:0:60,177,71,72,73,191,84,203,214,105:0100010110
77:0:60,177,71,72,73,191,202,94,95,215:0100011001
78:0:60,177,71,72,73,191,202,94,214,105:0100011010
79:0:60,177,71,72,73,191,202,213,104,105:0100011100
80:0:60,177,71,72,190,83,84,85,204,215:0100100011
81:0:60,177,71,72,190,83,84,203,95,215:0100100101
82:0:60,177,71,72,190,83,84,203,214,105:0100100110
83:0:60,177,71,72,190,83,202,94,95,215:0100101001
84:0:60,177,71,72,190,83,202,94,214,105:0100101010
85:0:60,177,71,72,190,83,202,213,104,105:0100101100
86:0:60,177,71,72,190,201,93,94,95,215:0100110001
87:0:60,177,71,72,190,201,93,94,214,105:0100110010
88:0:60,177,71,72,190,201,93,213,104,105:0100110100
89:0:60,177,71,72,190,201,212,103,104,105:0100111000
90:0:60,177,71,189,82,83,84,85,204,215:0101000011
91:0:60,177,71,189,82,83,84,203,95,215:0101000101
92:0:60,177,71,189,82,83,84,203,214,105:0101000110
93:0:60,177,71,189,82,83,202,94,95,215:0101001001
94:0:60,177,71,189,82,83,202,94,214,105:0101001010
95:0:60,177,71,189,82,83,202,213,104,105:0101001100
96:0:60,177,71,189,82,201,93,94,95,215:0101010001
97:0:60,177,71,189,82,201,93,94,214,105:0101010010
98:0:60,177,71,189,82,201,93,213,104,105:0101010100
99:0:60,177,71,189,82,201,212,103,104,105:0101011000
100:0:60,177,71,189,200,92,93,94,95,215:0101100001
101:0:60,177,71,189,200,92,93,94,214,105:0101100010
102:0:60,177,71,189,200,92,93,213,104,105:0101100100
103:0:60,177,71,189,200,92,212,103,104,105:0101101000
104:0:60,177,71,189,200,211,102,103,104,105:0101110000
105:0:60,177,188,81,82,83,84,85,204,215:0110000011
106:0:60,177,188,81,82,83,84,203,95,215:0110000101
107:0:60,177,188,81,82,83,84,203,214,105:0110000110
108:0:60,177,188,81,82,83,202,94,95,215:0110001001
109:0:60,177,188,81,82,83,202,94,214,105:0110001010
110:0:60,177,188,81,82,83,202,213,104,105:0110001100
111:0:60,177,188,81,82,201,93,94,95,215:0110010001
112:0:60,177,188,81,82,201,93,94,214,105:0110010010
113:0:60,177,188,81,82,201,93,213,104,105:0110010100
114:0:60,177,188,81,82,201,212,103,104,105:0110011000
115:0:60,177,188,81,200,92,93,94,95,215:0110100001
116:0:60,177,188,81,200,92,93,94,214,105:0110100010
117:0:60,177,188,81,200,92,93,213,104,105:0110100100
118:0:60,177,188,81,200,92,212,103,104,105:0110101000
119:0:60,177,188,81,200,211,102,103,104,105:0110110000
120:0:60,177,188,199,91,92,93,94,95,215:0111000001
121:0:60,177,188,199,91,92,93,94,214,105:0111000010
122:0:60,177,188,199,91,92,93,213,104,105:0111000100
123:0:60,177,188,199,91,92,212,103,104,105:0111001000
124:0:60,177,188,199,91,211,102,103,104,105:0111010000
125:0:60,177,188,199,210,101,102,103,104,105:0111100000
126:0:176,70,71,72,73,74,75,193,204,215:1000000111
127:0:176,70,71,72,73,74,192,85,204,215:1000001011
128:0:176,70,71,72,73,74,192,203,95,215:1000001101
129:0:176,70,71,72,73,74,192,203,214,105:1000001110
130:0:176,70,71,72,73,191,84,85,204,215:1000010011
131:0:176,70,71,72,73,191,84,203,95,215:1000010101
132:0:176,70,71,72,73,191,84,203,214,105:1000010110
133:0:176,70,71,72,73,191,202,94,95,215:1000011001
134:0:176,70,71,72,73,191,202,94,214,105:1000011010
135:0:176,70,71,72,73,191,202,213,104,105:1000011100
136:0:176,70,71,72,190,83,84,85,204,215:1000100011
137:0:176,70,71,72,190,83,84,203,95,215:1000100101
138:0:176,70,71,72,190,83,84,203,214,105:1000100110
139:0:176,70,71,72,190,83,202,94,95,215:1000101001
140:0:176,70,71,72,190,83,202,94,214,105:1000101010
141:0:176,70,71,72,190,83,202,213,104,105:1000101100
142:0:176,70,71,72,190,201,93,94,95,215:1000110001
143:0:176,70,71,72,190,201,93,94,214,105:1000110010
144:0:176,70,71,72,190,201,93,213,104,105:1000110100
145:0:176,70,71,72,190,201,212,103,104,105:1000111000
146:0:176,70,71,189,82,83,84,85,204,215:1001000011
147:0:176,70,71,189,82,83,84,203,95,215:1001000101
148:0:176,70,71,189,82,83,84,203,214,105:1001000110
149:0:176,70,71,189,82,83,202,94,95,215:1001001001
150:0:176,70,71,189,82,83,202,94,214,105:1001001010
151:0:176,70,71,189,82,83,202,213,104,105:1001001100
152:0:176,70,71,189,82,201,93,94,95,215:1001010001
153:0:176,70,71,189,82,201,93,94,214,105:1001010010
154:0:176,70,71,189,82,201,93,213,104,105:1001010100
155:0:176,70,71,189,82,201,212,103,104,105:1001011000
156:0:176,70,71,189,200,92,93,94,95,215:1001100001
157:0:176,70,71,189,200,92,93,94,214,105:1001100010
158:0:176,70,71,189,200,92,93,213,104,105:1001100100
159:0:176,70,71,189,200,92,212,103,104,105:1001101000
160:0:176,70,71,189,200,211,102,103,104,105:1001110000
161:0:176,70,188,81,82,83,84,85,204,215:1010000011
162:0:176,70,188,81,82,83,84,203,95,215:1010000101
163:0:176,70,188,81,82,83,84,203,214,105:1010000110
164:0:176,70,188,81,82,83,202,94,95,215:1010001001
165:0:176,70,188,81,82,83,202,94,214,105:1010001010
166:0:176,70,188,81,82,83,202,213,104,105:1010001100
167:0:176,70,188,81,82,201,93,94,95,215:1010010001
168:0:176,70,188,81,82,201,93,94,214,105:1010010010
169:0:176,70,188,81,82,201,93,213,104,105:1010010100
170:0:176,70,188,81,82,201,212,103,104,105:1010011000
171:0:176,70,188,81,200,92,93,94,95,215:1010100001
172:0:176,70,188,81,200,92,93,94,214,105:1010100010
173:0:176,70,188,81,200,92,93,213,104,105:1010100100
174:0:176,70,188,81,200,92,212,103,104,105:1010101000
175:0:176,70,188,81,200,211,102,103,104,105:1010110000
176:0:176,70,188,199,91,92,93,94,95,215:1011000001
177:0:176,70,188,199,91,92,93,94,214,105:1011000010
178:0:176,70,188,199,91,92,93,213,104,105:1011000100
179:0:176,70,188,199,91,92,212,103,104,105:1011001000
180:0:176,70,188,199,91,211,102,103,104,105:1011010000
181:0:176,70,188,199,210,101,102,103,104,105:1011100000
182:0:176,187,80,81,82,83,84,85,204,215:1100000011
183:0:176,187,80,81,82,83,84,203,95,215:1100000101
184:0:176,187,80,81,82,83,84,203,214,105:1100000110
185:0:176,187,80,81,82,83,202,94,95,215:1100001001
186:0:176,187,80,81,82,83,202,94,214,105:1100001010
187:0:176,187,80,81,82,83,202,213,104,105:1100001100
188:0:176,187,80,81,82,201,93,94,95,215:1100010001
189:0:176,187,80,81,82,201,93,94,214,105:1100010010
190:0:176,187,80,81,82,201,93,213,104,105:1100010100
191:0:176,187,80,81,82,201,212,103,104,105:1100011000
192:0:176,187,80,81,200,92,93,94,95,215:1100100001
193:0:176,187,80,81,200,92,93,94,214,105:1100100010
194:0:176,187,80,81,200,92,93,213,104,105:1100100100
195:0:176,187,80,81,200,92,212,103,104,105:1100101000
196:0:176,187,80,81,200,211,102,103,104,105:1100110000
197:0:176,187,80,199,91,92,93,94,95,215:1101000001
198:0:176,187,80,199,91,92,93,94,214,105:1101000010
199:0:176,187,80,199,91,92,93,213,104,105:1101000100
200:0:176,187,80,199,91,92,212,103,104,105:1101001000
201:0:176,187,80,199,91,211,102,103,104,105:1101010000
202:0:176,187,80,199,210,101,102,103,104,105:1101100000
